Nome_da_Imagem,PID,Nome_da_Sessao,Sessao#,Uso_de_memoria
=========================,========,================,===========,============
System,Idle,Process,0,Services,0,8,K
svchost.exe,17896,Services,0,8.836,K
csrss.exe,29684,Console,3,7.908,K
winlogon.exe,26508,Console,3,10.932,K
fontdrvhost.exe,27908,Console,3,6.652,K
dwm.exe,9720,Console,3,66.708,K
sihost.exe,28472,Console,3,24.204,K
svchost.exe,9048,Console,3,9.396,K
svchost.exe,27072,Console,3,15.904,K
igfxEM.exe,9560,Console,3,12.676,K
svchost.exe,13464,Console,3,6.844,K
svchost.exe,31284,Console,3,24.844,K
taskhostw.exe,23712,Console,3,22.384,K
SamsungSecuritySupporter.,23324,Console,3,14.164,K
explorer.exe,31808,Console,3,182.468,K
SamsungSystemSupportEngin,32036,Console,3,13.836,K
svchost.exe,9040,Console,3,25.980,K
StartMenuExperienceHost.e,8404,Console,3,29.104,K
SearchHost.exe,18564,Console,3,78.144,K
FileCoAuth.exe,10804,Console,3,26.892,K
Widgets.exe,6764,Console,3,35.436,K
RuntimeBroker.exe,31792,Console,3,14.960,K
RuntimeBroker.exe,16148,Console,3,38.556,K
svchost.exe,8240,Console,3,14.336,K
dllhost.exe,10280,Console,3,15.016,K
ctfmon.exe,31304,Console,3,19.880,K
SecurityHealthSystray.exe,10312,Console,3,10.848,K
OneDrive.exe,15780,Console,3,35.548,K
TextInputHost.exe,32480,Console,3,34.884,K
jetbrains-toolbox.exe,30064,Console,3,63.528,K
chrome.exe,8020,Console,3,189.432,K
chrome.exe,14096,Console,3,9.032,K
chrome.exe,22748,Console,3,134.168,K
chrome.exe,18728,Console,3,52.968,K
chrome.exe,16420,Console,3,23.056,K
chrome.exe,16720,Console,3,14.672,K
chrome.exe,14604,Console,3,21.680,K
chrome.exe,15972,Console,3,12.720,K
CrossDeviceService.exe,11580,Console,3,20.076,K
ms-teams.exe,29724,Console,3,17.728,K
RuntimeBroker.exe,28484,Console,3,9.680,K
msedgewebview2.exe,16980,Console,3,44.024,K
msedgewebview2.exe,10208,Console,3,7.752,K
RuntimeBroker.exe,13880,Console,3,11.584,K
msedgewebview2.exe,13156,Console,3,9.624,K
msedgewebview2.exe,17636,Console,3,22.728,K
msedgewebview2.exe,14220,Console,3,6.616,K
msedgewebview2.exe,1132,Console,3,62.708,K
NortonSecurity.exe,26324,Console,3,10.240,K
RtkAudUService64.exe,18464,Console,3,4.272,K
jusched.exe,7504,Console,3,10.616,K
svchost.exe,9744,Console,3,13.988,K
WidgetService.exe,28480,Console,3,12.036,K
msedgewebview2.exe,29640,Console,3,4.588,K
msedgewebview2.exe,28428,Console,3,7.788,K
msedgewebview2.exe,30456,Console,3,4.508,K
msedgewebview2.exe,19340,Console,3,1.372,K
msedgewebview2.exe,9820,Console,3,416,K
msedgewebview2.exe,10636,Console,3,412,K
ShellExperienceHost.exe,3180,Console,3,8.780,K
RuntimeBroker.exe,19616,Console,3,19.956,K
svchost.exe,3392,Console,3,11.916,K
ApplicationFrameHost.exe,22016,Console,3,12.888,K
HxOutlook.exe,16464,Console,3,2.732,K
RuntimeBroker.exe,15220,Console,3,9.316,K
HxTsr.exe,4608,Console,3,15.124,K
SystemSettingsBroker.exe,26044,Console,3,19.292,K
svchost.exe,1296,Console,3,9.324,K
backgroundTaskHost.exe,17624,Console,3,2.520,K
chrome.exe,18660,Console,3,16.452,K
chrome.exe,31120,Console,3,19.996,K
idea64.exe,9400,Console,3,620.268,K
fsnotifier.exe,3848,Console,3,3.264,K
conhost.exe,27580,Console,3,5.848,K
PhoneExperienceHost.exe,16436,Console,3,51.492,K
chrome.exe,3936,Console,3,67.876,K
msedgewebview2.exe,32056,Console,3,1.772,K
Code.exe,29316,Console,3,70.908,K
Code.exe,6048,Console,3,15.412,K
Code.exe,22000,Console,3,102.208,K
Code.exe,20836,Console,3,18.628,K
Code.exe,16580,Console,3,230.208,K
Code.exe,30004,Console,3,38.616,K
Code.exe,25700,Console,3,30.456,K
dllhost.exe,5904,Console,3,9.908,K
Code.exe,24108,Console,3,102.548,K
Code.exe,30480,Console,3,17.180,K
Code.exe,9548,Console,3,23.592,K
Code.exe,18412,Console,3,12.448,K
backgroundTaskHost.exe,7292,Console,3,2.204,K
backgroundTaskHost.exe,10984,Console,3,2.200,K
vmwp.exe,31940,Services,0,19.072,K
vmmemWSL,11628,Services,0,189.416,K
dllhost.exe,33632,Console,3,9.924,K
dllhost.exe,5808,Console,3,10.080,K
wslrelay.exe,3400,Console,3,7.892,K
backgroundTaskHost.exe,10524,Console,3,1.120,K
chrome.exe,17576,Console,3,63.480,K
